2018-08-27 17:47:14 INFO  DefaultCamelContext:3143 - Apache Camel 2.22.0 (CamelContext: camel-1) is starting
2018-08-27 17:47:14 INFO  ManagedManagementStrategy:205 - JMX is enabled
2018-08-27 17:47:15 INFO  DefaultTypeConverter:66 - Type converters loaded (core: 195, classpath: 0)
2018-08-27 17:47:15 INFO  DefaultCamelContext:3470 - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-08-27 17:47:15 INFO  DefaultCamelContext:4030 - Route: route1 started and consuming from: file://data/input
2018-08-27 17:47:15 INFO  DefaultCamelContext:3191 - Total 1 routes, of which 1 are started
2018-08-27 17:47:15 INFO  DefaultCamelContext:3202 - Apache Camel 2.22.0 (CamelContext: camel-1) started in 0.631 seconds
2018-08-27 17:47:20 INFO  DefaultCamelContext:3501 - Apache Camel 2.22.0 (CamelContext: camel-1) is shutting down
2018-08-27 17:47:20 INFO  DefaultShutdownStrategy:195 - Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-08-27 17:47:20 INFO  DefaultShutdownStrategy:671 - Route: route1 shutdown complete, was consuming from: file://data/input
2018-08-27 17:47:20 INFO  DefaultShutdownStrategy:260 - Graceful shutdown of 1 routes completed in 0 seconds
2018-08-27 17:47:20 INFO  DefaultCamelContext:3592 - Apache Camel 2.22.0 (CamelContext: camel-1) uptime 5.670 seconds
2018-08-27 17:47:20 INFO  DefaultCamelContext:3593 - Apache Camel 2.22.0 (CamelContext: camel-1) is shutdown in 0.034 seconds
 2018-08-27 18:08:16,421 | INFO | DefaultCamelContext.java 4030 | Route: route1 started and consuming from: file://data/input?noop=true
 2018-08-27 18:08:16,424 | INFO | DefaultCamelContext.java 3191 | Total 1 routes, of which 1 are started
 2018-08-27 18:08:16,434 | INFO | DefaultCamelContext.java 3202 | Apache Camel 2.22.0 (CamelContext: camel-1) started in 0.754 seconds
 2018-08-27 18:08:17,433 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-ELPBLR-035-1535373495430-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/data/workspace_learing/camel-learning/learcamel-simple-route/data/input/file2.txt, CamelFileLastModified=1535372236000, CamelFileLength=5, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
 2018-08-27 18:08:17,445 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-ELPBLR-035-1535373495430-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/data/workspace_learing/camel-learning/learcamel-simple-route/data/input/file.txt, CamelFileLastModified=1535372236000, CamelFileLength=3, CamelFileName=file.txt, CamelFileNameConsumed=file.txt, CamelFileNameOnly=file.txt, CamelFileParent=data/input, CamelFilePath=data/input/file.txt, CamelFileRelativePath=file.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file.txt]]]
 2018-08-27 18:08:21,435 | INFO | DefaultCamelContext.java 3501 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutting down
 2018-08-27 18:08:21,436 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
 2018-08-27 18:08:21,439 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
 2018-08-27 18:08:21,440 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
 2018-08-27 18:08:21,457 | INFO | DefaultCamelContext.java 3592 | Apache Camel 2.22.0 (CamelContext: camel-1) uptime 5.787 seconds
 2018-08-27 18:08:21,459 | INFO | DefaultCamelContext.java 3593 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutdown in 0.023 seconds
 2018-08-28 10:38:18,285 | INFO | DefaultCamelContext.java 3143 | Apache Camel 2.22.0 (CamelContext: camel-1) is starting
 2018-08-28 10:38:18,305 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
 2018-08-28 10:38:19,020 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 0)
 2018-08-28 10:38:19,395 | INFO | DefaultCamelContext.java 3470 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
 2018-08-28 10:38:19,427 | INFO | FileEndpoint.java 102 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
 2018-08-28 10:38:19,443 | INFO | FileEndpoint.java 108 | Using default memory based idempotent repository with cache max size: 1000
 2018-08-28 10:38:19,682 | INFO | DefaultCamelContext.java 4030 | Route: route1 started and consuming from: file://data/input?noop=true
 2018-08-28 10:38:19,682 | INFO | DefaultCamelContext.java 3191 | Total 1 routes, of which 1 are started
 2018-08-28 10:38:19,692 | INFO | DefaultCamelContext.java 3202 | Apache Camel 2.22.0 (CamelContext: camel-1) started in 1.407 seconds
 2018-08-28 10:38:20,722 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-ELPBLR-035-1535432897995-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/data/workspace_learing/camel-learning/learcamel-simple-route/data/input/file2.txt, CamelFileLastModified=1535372236000, CamelFileLength=5, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
 2018-08-28 10:38:20,765 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-ELPBLR-035-1535432897995-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/data/workspace_learing/camel-learning/learcamel-simple-route/data/input/file.txt, CamelFileLastModified=1535372236000, CamelFileLength=3, CamelFileName=file.txt, CamelFileNameConsumed=file.txt, CamelFileNameOnly=file.txt, CamelFileParent=data/input, CamelFilePath=data/input/file.txt, CamelFileRelativePath=file.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file.txt]]]
 2018-08-28 10:38:24,693 | INFO | DefaultCamelContext.java 3501 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutting down
 2018-08-28 10:38:24,694 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
 2018-08-28 10:38:24,698 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
 2018-08-28 10:38:24,699 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
 2018-08-28 10:38:24,718 | INFO | DefaultCamelContext.java 3592 | Apache Camel 2.22.0 (CamelContext: camel-1) uptime 6.442 seconds
 2018-08-28 10:38:24,719 | INFO | DefaultCamelContext.java 3593 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutdown in 0.026 seconds
 2018-08-28 11:01:40,950 | INFO | DefaultCamelContext.java 3143 | Apache Camel 2.22.0 (CamelContext: camel-1) is starting
 2018-08-28 11:01:40,956 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
 2018-08-28 11:01:41,240 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 0)
 2018-08-28 11:01:41,438 | INFO | DefaultCamelContext.java 3470 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
 2018-08-28 11:01:41,449 | INFO | FileEndpoint.java 102 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
 2018-08-28 11:01:41,449 | INFO | FileEndpoint.java 108 | Using default memory based idempotent repository with cache max size: 1000
 2018-08-28 11:01:41,525 | INFO | FileEndpoint.java 102 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
